,ID,DateTime,Ticker,Close
195,2023.04.25 16:27:00-QUAL3,2023-04-25 16:27:00+00:00,QUAL3,3.68
196,2023.04.25 16:26:00-QUAL3,2023-04-25 16:26:00+00:00,QUAL3,3.67
197,2023.04.25 16:25:00-QUAL3,2023-04-25 16:25:00+00:00,QUAL3,3.68
198,2023.04.25 16:27:00-RADL3,2023-04-25 16:27:00+00:00,RADL3,25.96
199,2023.04.25 16:26:00-RADL3,2023-04-25 16:26:00+00:00,RADL3,25.96
200,2023.04.25 16:25:00-RADL3,2023-04-25 16:25:00+00:00,RADL3,25.96
201,2023.04.25 16:27:00-RAIL3,2023-04-25 16:27:00+00:00,RAIL3,19.7
202,2023.04.25 16:26:00-RAIL3,2023-04-25 16:26:00+00:00,RAIL3,19.72
203,2023.04.25 16:25:00-RAIL3,2023-04-25 16:25:00+00:00,RAIL3,19.74
204,2023.04.25 16:27:00-RAIZ4,2023-04-25 16:27:00+00:00,RAIZ4,3.17
205,2023.04.25 16:26:00-RAIZ4,2023-04-25 16:26:00+00:00,RAIZ4,3.17
206,2023.04.25 16:25:00-RAIZ4,2023-04-25 16:25:00+00:00,RAIZ4,3.17
207,2023.04.25 16:27:00-RDOR3,2023-04-25 16:27:00+00:00,RDOR3,22.78
208,2023.04.25 16:26:00-RDOR3,2023-04-25 16:26:00+00:00,RDOR3,22.78
209,2023.04.25 16:25:00-RDOR3,2023-04-25 16:25:00+00:00,RDOR3,22.78
210,2023.04.25 16:27:00-RENT3,2023-04-25 16:27:00+00:00,RENT3,56.08
211,2023.04.25 16:26:00-RENT3,2023-04-25 16:26:00+00:00,RENT3,56.15
212,2023.04.25 16:25:00-RENT3,2023-04-25 16:25:00+00:00,RENT3,56.15
213,2023.04.25 16:27:00-RRRP3,2023-04-25 16:27:00+00:00,RRRP3,27.86
214,2023.04.25 16:26:00-RRRP3,2023-04-25 16:26:00+00:00,RRRP3,27.87
215,2023.04.25 16:25:00-RRRP3,2023-04-25 16:25:00+00:00,RRRP3,27.79
216,2023.04.25 16:27:00-SANB11,2023-04-25 16:27:00+00:00,SANB11,26.69
217,2023.04.25 16:26:00-SANB11,2023-04-25 16:26:00+00:00,SANB11,26.68
218,2023.04.25 16:25:00-SANB11,2023-04-25 16:25:00+00:00,SANB11,26.7
219,2023.04.25 16:27:00-SBSP3,2023-04-25 16:27:00+00:00,SBSP3,48.59
220,2023.04.25 16:26:00-SBSP3,2023-04-25 16:26:00+00:00,SBSP3,48.57
221,2023.04.25 16:25:00-SBSP3,2023-04-25 16:25:00+00:00,SBSP3,48.56
222,2023.04.25 16:27:00-SLCE3,2023-04-25 16:27:00+00:00,SLCE3,42.8
223,2023.04.25 16:26:00-SLCE3,2023-04-25 16:26:00+00:00,SLCE3,42.8
224,2023.04.25 16:25:00-SLCE3,2023-04-25 16:25:00+00:00,SLCE3,42.8
225,2023.04.25 16:27:00-SMTO3,2023-04-25 16:27:00+00:00,SMTO3,29.59
226,2023.04.25 16:26:00-SMTO3,2023-04-25 16:26:00+00:00,SMTO3,29.58
227,2023.04.25 16:25:00-SMTO3,2023-04-25 16:25:00+00:00,SMTO3,29.56
228,2023.04.25 16:27:00-SOMA3,2023-04-25 16:27:00+00:00,SOMA3,7.53
229,2023.04.25 16:26:00-SOMA3,2023-04-25 16:26:00+00:00,SOMA3,7.55
230,2023.04.25 16:25:00-SOMA3,2023-04-25 16:25:00+00:00,SOMA3,7.55
231,2023.04.25 16:27:00-SUZB3,2023-04-25 16:27:00+00:00,SUZB3,38.82
232,2023.04.25 16:27:00-SUZB3,2023-04-25 16:27:00+00:00,SUZB3,38.84
233,2023.04.25 16:25:00-SUZB3,2023-04-25 16:25:00+00:00,SUZB3,38.83
234,2023.04.25 16:27:00-TAEE11,2023-04-25 16:27:00+00:00,TAEE11,35.46
235,2023.04.25 16:26:00-TAEE11,2023-04-25 16:26:00+00:00,TAEE11,35.47
236,2023.04.25 16:25:00-TAEE11,2023-04-25 16:25:00+00:00,TAEE11,35.47
237,2023.04.25 16:27:00-TIMS3,2023-04-25 16:27:00+00:00,TIMS3,13.78
238,2023.04.25 16:26:00-TIMS3,2023-04-25 16:26:00+00:00,TIMS3,13.78
239,2023.04.25 16:25:00-TIMS3,2023-04-25 16:25:00+00:00,TIMS3,13.78
240,2023.04.25 16:27:00-TOTS3,2023-04-25 16:27:00+00:00,TOTS3,25.58
241,2023.04.25 16:26:00-TOTS3,2023-04-25 16:26:00+00:00,TOTS3,25.61
242,2023.04.25 16:25:00-TOTS3,2023-04-25 16:25:00+00:00,TOTS3,25.61
243,2023.04.25 16:27:00-UGPA3,2023-04-25 16:27:00+00:00,UGPA3,14.52
244,2023.04.25 16:26:00-UGPA3,2023-04-25 16:26:00+00:00,UGPA3,14.53
245,2023.04.25 16:25:00-UGPA3,2023-04-25 16:25:00+00:00,UGPA3,14.52
246,2023.04.25 16:27:00-USIM5,2023-04-25 16:27:00+00:00,USIM5,7.0
247,2023.04.25 16:26:00-USIM5,2023-04-25 16:26:00+00:00,USIM5,6.99
248,2023.04.25 16:25:00-USIM5,2023-04-25 16:25:00+00:00,USIM5,7.0
249,2023.04.25 16:27:00-VALE3,2023-04-25 16:27:00+00:00,VALE3,69.96
250,2023.04.25 16:26:00-VALE3,2023-04-25 16:26:00+00:00,VALE3,69.95
251,2023.04.25 16:25:00-VALE3,2023-04-25 16:25:00+00:00,VALE3,69.97
252,2023.04.25 16:27:00-VBBR3,2023-04-25 16:27:00+00:00,VBBR3,13.26
253,2023.04.25 16:26:00-VBBR3,2023-04-25 16:26:00+00:00,VBBR3,13.27
254,2023.04.25 16:25:00-VBBR3,2023-04-25 16:25:00+00:00,VBBR3,13.28
255,2023.04.25 16:27:00-VIIA3,2023-04-25 16:27:00+00:00,VIIA3,1.81
256,2023.04.25 16:26:00-VIIA3,2023-04-25 16:26:00+00:00,VIIA3,1.81
257,2023.04.25 16:25:00-VIIA3,2023-04-25 16:25:00+00:00,VIIA3,1.82
258,2023.04.25 16:27:00-VIVT3,2023-04-25 16:27:00+00:00,VIVT3,40.28
259,2023.04.25 16:26:00-VIVT3,2023-04-25 16:26:00+00:00,VIVT3,40.29
260,2023.04.25 16:25:00-VIVT3,2023-04-25 16:25:00+00:00,VIVT3,40.29
261,2023.04.25 16:27:00-WEGE3,2023-04-25 16:27:00+00:00,WEGE3,40.82
262,2023.04.25 16:26:00-WEGE3,2023-04-25 16:26:00+00:00,WEGE3,40.82
263,2023.04.25 16:25:00-WEGE3,2023-04-25 16:25:00+00:00,WEGE3,40.84
264,2023.04.25 16:27:00-YDUQ3,2023-04-25 16:27:00+00:00,YDUQ3,7.95
265,2023.04.25 16:26:00-YDUQ3,2023-04-25 16:26:00+00:00,YDUQ3,7.96
266,2023.04.25 16:25:00-YDUQ3,2023-04-25 16:25:00+00:00,YDUQ3,7.96
