,ID,DateTime,Ticker,Close,Close_1
147,2023.04.25 16:26:00-SMTO3,2023-04-25 16:26:00+00:00,SMTO3,29.58,29.56
148,2023.04.25 16:27:00-SOMA3,2023-04-25 16:27:00+00:00,SOMA3,7.53,7.55
149,2023.04.25 16:26:00-SOMA3,2023-04-25 16:26:00+00:00,SOMA3,7.55,7.55
150,2023.04.25 16:27:00-TAEE11,2023-04-25 16:27:00+00:00,TAEE11,35.46,35.47
151,2023.04.25 16:26:00-TAEE11,2023-04-25 16:26:00+00:00,TAEE11,35.47,35.47
152,2023.04.25 16:27:00-TIMS3,2023-04-25 16:27:00+00:00,TIMS3,13.78,13.78
153,2023.04.25 16:26:00-TIMS3,2023-04-25 16:26:00+00:00,TIMS3,13.78,13.78
154,2023.04.25 16:27:00-TOTS3,2023-04-25 16:27:00+00:00,TOTS3,25.58,25.61
155,2023.04.25 16:26:00-TOTS3,2023-04-25 16:26:00+00:00,TOTS3,25.61,25.61
156,2023.04.25 16:27:00-UGPA3,2023-04-25 16:27:00+00:00,UGPA3,14.52,14.53
157,2023.04.25 16:26:00-UGPA3,2023-04-25 16:26:00+00:00,UGPA3,14.53,14.52
158,2023.04.25 16:27:00-USIM5,2023-04-25 16:27:00+00:00,USIM5,7.0,6.99
159,2023.04.25 16:26:00-USIM5,2023-04-25 16:26:00+00:00,USIM5,6.99,7.0
160,2023.04.25 16:27:00-VALE3,2023-04-25 16:27:00+00:00,VALE3,69.96,69.95
161,2023.04.25 16:26:00-VALE3,2023-04-25 16:26:00+00:00,VALE3,69.95,69.97
162,2023.04.25 16:27:00-VBBR3,2023-04-25 16:27:00+00:00,VBBR3,13.26,13.27
163,2023.04.25 16:26:00-VBBR3,2023-04-25 16:26:00+00:00,VBBR3,13.27,13.28
164,2023.04.25 16:27:00-VIIA3,2023-04-25 16:27:00+00:00,VIIA3,1.81,1.81
165,2023.04.25 16:26:00-VIIA3,2023-04-25 16:26:00+00:00,VIIA3,1.81,1.82
166,2023.04.25 16:27:00-VIVT3,2023-04-25 16:27:00+00:00,VIVT3,40.28,40.29
167,2023.04.25 16:26:00-VIVT3,2023-04-25 16:26:00+00:00,VIVT3,40.29,40.29
168,2023.04.25 16:27:00-WEGE3,2023-04-25 16:27:00+00:00,WEGE3,40.82,40.82
169,2023.04.25 16:26:00-WEGE3,2023-04-25 16:26:00+00:00,WEGE3,40.82,40.84
170,2023.04.25 16:27:00-YDUQ3,2023-04-25 16:27:00+00:00,YDUQ3,7.95,7.96
171,2023.04.25 16:26:00-YDUQ3,2023-04-25 16:26:00+00:00,YDUQ3,7.96,7.96
